"EEZ","Cat"
"AU",901.666666666667
"CK",4152.66666666667
"FJ",4810.66666666667
"KI",1345.33333333333
"NU",305
"NZ",418.333333333333
"PG",986.666666666667
"SB",5104.33333333333
"TK",1222.66666666667
"TO",899
"TV",1019
"VU",4659
"WS",1168.66666666667
